date,0_control_children_population_percentage,1_working_age_population_percentage,2_labor_force_participation_rate,3_inflation,4_population_not_rec_social_protection,birth_rate
1/1/1992,33.83597902,,,43.66617839,,26.861
1/1/1992,35.63638551,,,27.16325274,,25.267
1/1/1992,29.62158017,,,15.42585597,,20.938
1/1/1992,40.98646976,,,15.19274376,,32.415
1/1/1992,40.81508116,,,12.63236183,,34.536
1/1/1992,37.41019733,,,,,27.761
1/1/1992,35.84331149,,,,,28.201
1/1/1992,30.1804648,,,,,21.366
1/1/1993,34.06180199,,,1,,23.365
1/1/1993,34.00133476,,,1,,26.446
1/1/1993,25.40923901,,,54.17924425,,18.038
1/1/1993,37.27365863,,,48.57998645,,28.36
1/1/1993,37.207386,,,45,,28.498
1/1/1993,35.24471277,,,22.44248151,,24.667
1/1/1993,40.78936534,,,18.28661417,,31.847
1/1/1993,29.39553838,,,12.72776139,,20.393
1/1/1993,40.53128856,,,8.527876957,,34.126
1/1/1993,37.03865362,,,,,27.126
1/1/1993,35.939582,,,,,28.15
1/1/1993,29.80662173,,,,,21.097
1/1/1994,33.55063194,,,1,,22.94
1/1/1994,34.11335882,,,1,,26.001
1/1/1994,25.18094819,,,44.73642152,,17.853
1/1/1994,36.84961138,,,27.44252874,,27.985
1/1/1994,36.79361537,,,23.73695565,,27.7
1/1/1994,34.81069187,,,22.84623773,,24.051
1/1/1994,40.54114776,,,2.566194838,,31.289
1/1/1994,29.15848821,,,11.44312538,,19.846
1/1/1994,40.22492132,,,7.874442147,,33.718
1/1/1994,36.6541378,,,,,26.523
1/1/1994,36.04745616,,,,,28.037
1/1/1994,29.44328995,,,,,20.804
1/1/1995,34.09709639,,,1,,25.534
1/1/1995,32.99910475,,,66.73355425,,22.54
1/1/1995,25.01119448,,,42.2483198,,17.628
1/1/1995,36.49121727,,,22.88613333,,27.479
1/1/1995,34.32629372,,,2.891823831,,23.435
1/1/1995,40.24216264,,,13.42541436,,30.718
1/1/1995,36.08239162,,,12.21526316,,27.84
1/1/1995,36.33600901,,,11.12872978,,27.04
1/1/1995,39.90148167,,,1.193267637,,33.304
1/1/1995,28.91077068,,,8.232633318,,19.31
1/1/1995,36.27979094,,,,,25.964
1/1/1995,29.13403683,,,,,20.501
1/1/1996,24.8958832,,,28.34248644,,17.374
1/1/1996,36.15775746,,,24.37388685,,26.973
1/1/1996,33.83968867,,,2.797559873,,22.843
1/1/1996,32.45067624,,,15.75766563,,22.139
1/1/1996,39.62401796,,,12.42548662,,32.873
1/1/1996,35.93995501,,,11.53794241,,26.392
1/1/1996,39.9270412,,,9.799683392,,30.105
1/1/1996,28.58109209,,,7.359117444,,18.793
1/1/1996,35.96981602,,,7.947119728,,27.547
1/1/1996,33.85551378,,,-0.718872515,,25.054
1/1/1996,35.85160897,,,,,25.454
1/1/1996,28.86713099,,,,,20.21
1/1/1997,35.83213843,,,3.64298836,,26.46
1/1/1997,24.8080868,,,19.81889318,,17.112
1/1/1997,33.28082861,,,18.47271255,,22.293
1/1/1997,35.5570735,,,8.56218949,,25.767
1/1/1997,33.54241875,,,7.145111688,,24.574
1/1/1997,39.57841065,,,6.949566853,,29.429
1/1/1997,31.87841459,,,6.926712516,,21.716
1/1/1997,28.26399888,,,6.13386637,,18.295
1/1/1997,39.31932427,,,4.784443628,,32.42
1/1/1997,35.82227716,,,3.555679579,,27.174
1/1/1997,35.45314536,,,,,24.986
1/1/1997,28.62486151,,,,,19.948
1/1/1998,35.49947241,0.364183158,0.702808559,36.98433162,,25.941
1/1/1998,33.16946876,,,18.9753692,,24.103
